,Country,Year,Precipitation,Temperature,Occurrences,Entity,Urban (%),Rural (%),HDI,PopTotal,Education,Dengue,Y,X
112,SDN,1991,38.3695725,26.872975,0.0,Sudan,29.84,70.160004,0.336,20893.625,0.16699999999999998,0.0,19.62,37.22
113,SEN,1991,49.410855833333336,28.336750000000006,0.0,Senegal,39.038000000000004,60.962002000000005,0.36700000000000005,7789.653,0.198,0.0,14.67,-17.44
114,SGP,1991,201.52627499999997,27.635966666666665,0.0,Singapore,100.0,0.0,0.7290000000000001,3096.57,0.503,2.0,1.37,103.88
115,SLB,1991,237.76716666666672,25.652266666666666,0.0,Solomon Islands,13.87,86.129997,0.0,320.753,0.0,0.0,-9.43,160.05
116,SLE,1991,180.76870499999998,26.14531666666667,0.0,Sierra Leone,33.485,66.514999,0.267,4337.2390000000005,0.184,0.0,9.69,-11.72
117,SLV,1991,136.6557075,24.447466666666667,0.0,El Salvador,49.794,50.206001,0.534,5326.656999999999,0.384,0.0,13.74,-89.18
118,SOM,1991,19.11527083333333,26.927599999999998,0.0,Somalia,30.006999999999998,69.99299599999999,0.0,7455.936,0.0,0.0,10.43,45.01
119,SRB,1991,66.93091666666666,9.736511666666665,0.0,Serbia,50.756,49.243999,0.715,9602.940999999999,0.618,0.0,44.92,19.67
120,SUR,1991,187.484775,25.783716666666667,0.0,Suriname,65.78,34.220001,0.0,415.216,0.0,0.0,5.83,-55.17
121,SVK,1991,60.30658666666667,7.350224166666667,0.0,Slovakia,56.78,43.220001,0.7340000000000001,5309.235,0.6859999999999999,0.0,48.68,21.29
122,SVN,1991,108.29816666666666,8.544735,0.0,Slovenia,50.516999999999996,49.483002,0.765,2007.884,0.6990000000000001,0.0,45.64,13.99
123,SYC,1991,155.57438333333332,27.24598333333333,0.0,Seychelles,49.306999999999995,50.693001,0.0,71.5,0.0,0.0,-4.35,55.76
124,THA,1991,116.90801499999999,26.98845833333333,4.0,Thailand,29.593000000000004,70.406998,0.583,57258.401,0.39799999999999996,9.0,14.34,101.21
125,TKL,1991,230.93525,28.307699999999997,0.0,Tokelau,0.0,100.0,0.0,1.578,0.0,0.0,-8.56,-172.5
126,TLS,1991,93.27362750000002,25.63275,0.0,Timor,21.215,78.785004,0.0,777.0110000000001,0.0,0.0,0.0,0.0
127,TON,1991,127.11683333333332,24.49211666666667,0.0,Tonga,22.736,77.264,0.654,95.333,0.662,0.0,-21.15,-175.22
128,TTO,1991,131.43701666666666,26.223883333333333,1.0,Trinidad and Tobago,54.308,45.692001,0.6729999999999999,1229.907,0.575,0.0,10.68,-61.62
129,TUR,1991,48.177888333333335,10.887105833333335,0.0,Turkey,59.976000000000006,40.023998,0.583,54840.530999999995,0.40399999999999997,0.0,40.92,26.32
130,TUV,1991,270.21074999999996,28.35954166666667,0.0,Tuvalu,41.99100000000001,58.008998999999996,0.0,9.052999999999999,0.0,0.0,-8.51,179.19
131,TZA,1991,89.15421500000001,22.524558333333335,0.0,Tanzania,19.208,80.792,0.371,26315.013,0.278,0.0,0.0,0.0
132,UGA,1991,103.28480833333332,22.707900000000006,0.0,Uganda,11.454,88.545998,0.311,18040.438000000002,0.254,0.0,0.17,32.48
133,URY,1991,111.11020833333333,17.98773333333333,0.0,Uruguay,89.304,10.696,0.6970000000000001,3132.05,0.601,0.0,-33.25,-58.02
134,USA,1991,57.11594166666668,7.554736666666666,105.0,United States,75.70100000000001,24.299,0.861,254974.819,0.84,0.0,0.0,0.0
135,VCT,1991,267.49111666666664,54.98163333333334,0.0,Saint Vincent and the Grenadines,41.949,58.050999,0.0,107.814,0.0,0.0,13.16,-61.23
136,VEN,1991,150.43833333333333,25.322166666666664,0.0,Venezuela,84.664,15.335999999999999,0.644,20332.078999999998,0.457,1.0,10.49,-66.89
137,VGB,1991,148.78177499999998,26.379966666666665,0.0,British Virgin Islands,39.334,60.666000000000004,0.0,16.934,0.0,0.0,18.41,-64.64
138,VNM,1991,133.38795000000002,24.807658333333332,0.0,Vietnam,20.629,79.371002,0.484,69670.902,0.361,0.0,0.0,0.0
139,VUT,1991,219.88791666666665,23.941774999999996,0.0,Vanuatu,18.998,81.001999,0.0,150.778,0.0,0.0,-17.74,168.32
140,WLF,1991,243.16153333333332,26.934575000000006,0.0,Wallis and Futuna,0.0,100.0,0.0,13.912,0.0,0.0,-13.29,-176.22
141,WSM,1991,269.28575833333326,27.017466666666664,0.0,Samoa,21.2,78.800003,0.622,164.076,0.5820000000000001,0.0,-13.63,-172.62
142,YEM,1991,12.99506833333333,23.605316666666663,0.0,Yemen,21.489,78.511002,0.40299999999999997,12661.614,0.222,0.0,15.77,44.04
143,ZAF,1991,42.27556416666666,17.816391666666668,11.0,South Africa,52.553999999999995,47.445999,0.626,38437.855,0.552,0.0,-33.93,18.44
144,COD,1991,122.50151666666666,24.110358333333338,0.0,Democratic Republic of Congo,31.066999999999997,68.932999,0.353,35914.825,0.266,0.0,0.0,0.0
145,ZMB,1991,78.12275833333334,21.753091666666666,0.0,Zambia,38.989000000000004,61.011002000000005,0.402,8239.732,0.38,0.0,-12.17,26.38
146,ABW,1992,59.5355575,28.108816666666666,0.0,Aruba,49.998000000000005,50.001999,0.0,68.235,0.0,0.0,12.52,-70.03
147,AFG,1992,35.95758583333333,12.655889166666668,0.0,Afghanistan,21.355,78.644997,0.0,13981.231000000002,0.145,0.0,34.53,69.17
148,AGO,1992,69.76624083333333,21.840175,0.0,Angola,40.039,59.960999,0.0,12968.345,0.0,0.0,-8.81,13.23
149,AIA,1992,174.0956666666667,25.99789166666667,0.0,Anguilla,100.0,0.0,0.0,8.981,0.0,0.0,18.23,-63.04
150,ALB,1992,60.177775000000004,11.429765833333335,1.0,Albania,37.249,62.750999,0.61,3240.587,0.5579999999999999,0.0,40.15,19.79
